lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
57751176EEN,005,5775,0,11,000000000,076,0003960,0003960,000,10012019,N,I,N,N,EE
57751177EEN,005,5775,0,11,000000000,077,0003960,0003960,000,10012019,N,I,N,N,EE
57751178EEN,005,5775,0,11,000000000,078,0003960,0003960,000,10012019,N,I,N,N,EE
57751179EEN,005,5775,0,11,000000000,079,0003960,0003960,000,10012019,N,I,N,N,EE
57751180EEN,005,5775,0,11,000000000,080,0004141,0004141,000,10012019,N,I,N,N,EE
57751181EEN,005,5775,0,11,000000000,081,0004141,0004141,000,10012019,N,I,N,N,EE
57751182EEN,005,5775,0,11,000000000,082,0004141,0004141,000,10012019,N,I,N,N,EE
57751183EEN,005,5775,0,11,000000000,083,0004141,0004141,000,10012019,N,I,N,N,EE
57751184EEN,005,5775,0,11,000000000,084,0004141,0004141,000,10012019,N,I,N,N,EE
57751185EEN,005,5775,0,11,000000000,085,0004277,0004277,000,10012019,N,I,N,N,EE
57751186EEN,005,5775,0,11,000000000,086,0004277,0004277,000,10012019,N,I,N,N,EE
57751187EEN,005,5775,0,11,000000000,087,0004277,0004277,000,10012019,N,I,N,N,EE
57751188EEN,005,5775,0,11,000000000,088,0004277,0004277,000,10012019,N,I,N,N,EE
57751189EEN,005,5775,0,11,000000000,089,0004277,0004277,000,10012019,N,I,N,N,EE
57751190EEN,005,5775,0,11,000000000,090,0004469,0004469,000,10012019,N,I,N,N,EE
57751191EEN,005,5775,0,11,000000000,091,0004469,0004469,000,10012019,N,I,N,N,EE
57751192EEN,005,5775,0,11,000000000,092,0004469,0004469,000,10012019,N,I,N,N,EE
57751193EEN,005,5775,0,11,000000000,093,0004469,0004469,000,10012019,N,I,N,N,EE
57751194EEN,005,5775,0,11,000000000,094,0004469,0004469,000,10012019,N,I,N,N,EE
57751195EEN,005,5775,0,11,000000000,095,0004554,0004554,000,10012019,N,I,N,N,EE
57751196EEN,005,5775,0,11,000000000,096,0004554,0004554,000,10012019,N,I,N,N,EE
57751197EEN,005,5775,0,11,000000000,097,0004554,0004554,000,10012019,N,I,N,N,EE
57751198EEN,005,5775,0,11,000000000,098,0004554,0004554,000,10012019,N,I,N,N,EE
57751199EEN,005,5775,0,11,000000000,099,0004554,0004554,000,10012019,N,I,N,N,EE
57751118ESN,005,5775,0,11,000000000,018,0000420,0000420,000,10012019,N,I,N,N,ES
57751119ESN,005,5775,0,11,000000000,019,0000420,0000420,000,10012019,N,I,N,N,ES
57751120ESN,005,5775,0,11,000000000,020,0000420,0000420,000,10012019,N,I,N,N,ES
57751121ESN,005,5775,0,11,000000000,021,0000420,0000420,000,10012019,N,I,N,N,ES
57751122ESN,005,5775,0,11,000000000,022,0000420,0000420,000,10012019,N,I,N,N,ES
57751123ESN,005,5775,0,11,000000000,023,0000420,0000420,000,10012019,N,I,N,N,ES
57751124ESN,005,5775,0,11,000000000,024,0000420,0000420,000,10012019,N,I,N,N,ES
57751125ESN,005,5775,0,11,000000000,025,0000420,0000420,000,10012019,N,I,N,N,ES
57751126ESN,005,5775,0,11,000000000,026,0000420,0000420,000,10012019,N,I,N,N,ES
57751127ESN,005,5775,0,11,000000000,027,0000420,0000420,000,10012019,N,I,N,N,ES
57751128ESN,005,5775,0,11,000000000,028,0000420,0000420,000,10012019,N,I,N,N,ES
57751129ESN,005,5775,0,11,000000000,029,0000420,0000420,000,10012019,N,I,N,N,ES
57751130ESN,005,5775,0,11,000000000,030,0000783,0000783,000,10012019,N,I,N,N,ES
57751131ESN,005,5775,0,11,000000000,031,0000783,0000783,000,10012019,N,I,N,N,ES
57751132ESN,005,5775,0,11,000000000,032,0000783,0000783,000,10012019,N,I,N,N,ES
57751133ESN,005,5775,0,11,000000000,033,0000783,0000783,000,10012019,N,I,N,N,ES
57751134ESN,005,5775,0,11,000000000,034,0000783,0000783,000,10012019,N,I,N,N,ES
57751135ESN,005,5775,0,11,000000000,035,0001123,0001123,000,10012019,N,I,N,N,ES
57751136ESN,005,5775,0,11,000000000,036,0001123,0001123,000,10012019,N,I,N,N,ES
57751137ESN,005,5775,0,11,000000000,037,0001123,0001123,000,10012019,N,I,N,N,ES
57751138ESN,005,5775,0,11,000000000,038,0001123,0001123,000,10012019,N,I,N,N,ES
57751139ESN,005,5775,0,11,000000000,039,0001123,0001123,000,10012019,N,I,N,N,ES
57751140ESN,005,5775,0,11,000000000,040,0001562,0001562,000,10012019,N,I,N,N,ES
