lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,emptype
57911183ESN,005,5791,0,11,000000000,083,0000702,0000702,000,10012019,N,I,N,N,ES
57911184ESN,005,5791,0,11,000000000,084,0000702,0000702,000,10012019,N,I,N,N,ES
57911185ESN,005,5791,0,11,000000000,085,0000530,0000530,000,10012019,N,I,N,N,ES
57911186ESN,005,5791,0,11,000000000,086,0000530,0000530,000,10012019,N,I,N,N,ES
57911187ESN,005,5791,0,11,000000000,087,0000530,0000530,000,10012019,N,I,N,N,ES
57911188ESN,005,5791,0,11,000000000,088,0000530,0000530,000,10012019,N,I,N,N,ES
57911189ESN,005,5791,0,11,000000000,089,0000530,0000530,000,10012019,N,I,N,N,ES
57911190ESN,005,5791,0,11,000000000,090,0000376,0000376,000,10012019,N,I,N,N,ES
57911191ESN,005,5791,0,11,000000000,091,0000376,0000376,000,10012019,N,I,N,N,ES
57911192ESN,005,5791,0,11,000000000,092,0000376,0000376,000,10012019,N,I,N,N,ES
57911193ESN,005,5791,0,11,000000000,093,0000376,0000376,000,10012019,N,I,N,N,ES
57911194ESN,005,5791,0,11,000000000,094,0000376,0000376,000,10012019,N,I,N,N,ES
57911195ESN,005,5791,0,11,000000000,095,0000137,0000137,000,10012019,N,I,N,N,ES
57911196ESN,005,5791,0,11,000000000,096,0000137,0000137,000,10012019,N,I,N,N,ES
57911197ESN,005,5791,0,11,000000000,097,0000137,0000137,000,10012019,N,I,N,N,ES
57911198ESN,005,5791,0,11,000000000,098,0000137,0000137,000,10012019,N,I,N,N,ES
57911199ESN,005,5791,0,11,000000000,099,0000137,0000137,000,10012019,N,I,N,N,ES
579111181FN,005,5791,0,11,000000000,018,0000036,0000036,000,10012019,N,I,N,N,1F
579111191FN,005,5791,0,11,000000000,019,0000036,0000036,000,10012019,N,I,N,N,1F
579111201FN,005,5791,0,11,000000000,020,0000036,0000036,000,10012019,N,I,N,N,1F
579111211FN,005,5791,0,11,000000000,021,0000036,0000036,000,10012019,N,I,N,N,1F
579111221FN,005,5791,0,11,000000000,022,0000036,0000036,000,10012019,N,I,N,N,1F
579111231FN,005,5791,0,11,000000000,023,0000036,0000036,000,10012019,N,I,N,N,1F
579111241FN,005,5791,0,11,000000000,024,0000036,0000036,000,10012019,N,I,N,N,1F
579111251FN,005,5791,0,11,000000000,025,0000036,0000036,000,10012019,N,I,N,N,1F
579111261FN,005,5791,0,11,000000000,026,0000036,0000036,000,10012019,N,I,N,N,1F
579111271FN,005,5791,0,11,000000000,027,0000036,0000036,000,10012019,N,I,N,N,1F
579111281FN,005,5791,0,11,000000000,028,0000036,0000036,000,10012019,N,I,N,N,1F
579111291FN,005,5791,0,11,000000000,029,0000036,0000036,000,10012019,N,I,N,N,1F
579111301FN,005,5791,0,11,000000000,030,0000065,0000065,000,10012019,N,I,N,N,1F
579111311FN,005,5791,0,11,000000000,031,0000065,0000065,000,10012019,N,I,N,N,1F
579111321FN,005,5791,0,11,000000000,032,0000065,0000065,000,10012019,N,I,N,N,1F
579111331FN,005,5791,0,11,000000000,033,0000065,0000065,000,10012019,N,I,N,N,1F
579111341FN,005,5791,0,11,000000000,034,0000065,0000065,000,10012019,N,I,N,N,1F
579111351FN,005,5791,0,11,000000000,035,0000090,0000090,000,10012019,N,I,N,N,1F
579111361FN,005,5791,0,11,000000000,036,0000090,0000090,000,10012019,N,I,N,N,1F
579111371FN,005,5791,0,11,000000000,037,0000090,0000090,000,10012019,N,I,N,N,1F
579111381FN,005,5791,0,11,000000000,038,0000090,0000090,000,10012019,N,I,N,N,1F
579111391FN,005,5791,0,11,000000000,039,0000090,0000090,000,10012019,N,I,N,N,1F
579111401FN,005,5791,0,11,000000000,040,0000120,0000120,000,10012019,N,I,N,N,1F
579111411FN,005,5791,0,11,000000000,041,0000120,0000120,000,10012019,N,I,N,N,1F
579111421FN,005,5791,0,11,000000000,042,0000120,0000120,000,10012019,N,I,N,N,1F
579111431FN,005,5791,0,11,000000000,043,0000120,0000120,000,10012019,N,I,N,N,1F
579111441FN,005,5791,0,11,000000000,044,0000120,0000120,000,10012019,N,I,N,N,1F
579111451FN,005,5791,0,11,000000000,045,0000158,0000158,000,10012019,N,I,N,N,1F
579111461FN,005,5791,0,11,000000000,046,0000158,0000158,000,10012019,N,I,N,N,1F
579111471FN,005,5791,0,11,000000000,047,0000158,0000158,000,10012019,N,I,N,N,1F
579111481FN,005,5791,0,11,000000000,048,0000158,0000158,000,10012019,N,I,N,N,1F
579111491FN,005,5791,0,11,000000000,049,0000158,0000158,000,10012019,N,I,N,N,1F
579111501FN,005,5791,0,11,000000000,050,0000200,0000200,000,10012019,N,I,N,N,1F
579111511FN,005,5791,0,11,000000000,051,0000200,0000200,000,10012019,N,I,N,N,1F
579111521FN,005,5791,0,11,000000000,052,0000200,0000200,000,10012019,N,I,N,N,1F
579111531FN,005,5791,0,11,000000000,053,0000200,0000200,000,10012019,N,I,N,N,1F
579111541FN,005,5791,0,11,000000000,054,0000200,0000200,000,10012019,N,I,N,N,1F
579111551FN,005,5791,0,11,000000000,055,0000241,0000241,000,10012019,N,I,N,N,1F
579111561FN,005,5791,0,11,000000000,056,0000241,0000241,000,10012019,N,I,N,N,1F
579111571FN,005,5791,0,11,000000000,057,0000241,0000241,000,10012019,N,I,N,N,1F
579111581FN,005,5791,0,11,000000000,058,0000241,0000241,000,10012019,N,I,N,N,1F
579111591FN,005,5791,0,11,000000000,059,0000241,0000241,000,10012019,N,I,N,N,1F
579111601FN,005,5791,0,11,000000000,060,0000289,0000289,000,10012019,N,I,N,N,1F
579111611FN,005,5791,0,11,000000000,061,0000289,0000289,000,10012019,N,I,N,N,1F
579111621FN,005,5791,0,11,000000000,062,0000289,0000289,000,10012019,N,I,N,N,1F
579111631FN,005,5791,0,11,000000000,063,0000289,0000289,000,10012019,N,I,N,N,1F
579111641FN,005,5791,0,11,000000000,064,0000289,0000289,000,10012019,N,I,N,N,1F
579111651FN,005,5791,0,11,000000000,065,0000349,0000349,000,10012019,N,I,N,N,1F
579111661FN,005,5791,0,11,000000000,066,0000349,0000349,000,10012019,N,I,N,N,1F
579111671FN,005,5791,0,11,000000000,067,0000349,0000349,000,10012019,N,I,N,N,1F
579111681FN,005,5791,0,11,000000000,068,0000349,0000349,000,10012019,N,I,N,N,1F
579111691FN,005,5791,0,11,000000000,069,0000349,0000349,000,10012019,N,I,N,N,1F
579111701FN,005,5791,0,11,000000000,070,0000380,0000380,000,10012019,N,I,N,N,1F
579111711FN,005,5791,0,11,000000000,071,0000380,0000380,000,10012019,N,I,N,N,1F
579111721FN,005,5791,0,11,000000000,072,0000380,0000380,000,10012019,N,I,N,N,1F
579111731FN,005,5791,0,11,000000000,073,0000380,0000380,000,10012019,N,I,N,N,1F
579111741FN,005,5791,0,11,000000000,074,0000380,0000380,000,10012019,N,I,N,N,1F
579111751FN,005,5791,0,11,000000000,075,0000373,0000373,000,10012019,N,I,N,N,1F
579111761FN,005,5791,0,11,000000000,076,0000373,0000373,000,10012019,N,I,N,N,1F
579111771FN,005,5791,0,11,000000000,077,0000373,0000373,000,10012019,N,I,N,N,1F
579111781FN,005,5791,0,11,000000000,078,0000373,0000373,000,10012019,N,I,N,N,1F
579111791FN,005,5791,0,11,000000000,079,0000373,0000373,000,10012019,N,I,N,N,1F
579111801FN,005,5791,0,11,000000000,080,0000338,0000338,000,10012019,N,I,N,N,1F
579111811FN,005,5791,0,11,000000000,081,0000338,0000338,000,10012019,N,I,N,N,1F
579111821FN,005,5791,0,11,000000000,082,0000338,0000338,000,10012019,N,I,N,N,1F
579111831FN,005,5791,0,11,000000000,083,0000338,0000338,000,10012019,N,I,N,N,1F
579111841FN,005,5791,0,11,000000000,084,0000338,0000338,000,10012019,N,I,N,N,1F
579111851FN,005,5791,0,11,000000000,085,0000238,0000238,000,10012019,N,I,N,N,1F
579111861FN,005,5791,0,11,000000000,086,0000238,0000238,000,10012019,N,I,N,N,1F
579111871FN,005,5791,0,11,000000000,087,0000238,0000238,000,10012019,N,I,N,N,1F
579111881FN,005,5791,0,11,000000000,088,0000238,0000238,000,10012019,N,I,N,N,1F
579111891FN,005,5791,0,11,000000000,089,0000238,0000238,000,10012019,N,I,N,N,1F
579111901FN,005,5791,0,11,000000000,090,0000162,0000162,000,10012019,N,I,N,N,1F
579111911FN,005,5791,0,11,000000000,091,0000162,0000162,000,10012019,N,I,N,N,1F
579111921FN,005,5791,0,11,000000000,092,0000162,0000162,000,10012019,N,I,N,N,1F
579111931FN,005,5791,0,11,000000000,093,0000162,0000162,000,10012019,N,I,N,N,1F
579111941FN,005,5791,0,11,000000000,094,0000162,0000162,000,10012019,N,I,N,N,1F
579111951FN,005,5791,0,11,000000000,095,0000032,0000032,000,10012019,N,I,N,N,1F
579111961FN,005,5791,0,11,000000000,096,0000032,0000032,000,10012019,N,I,N,N,1F
579111971FN,005,5791,0,11,000000000,097,0000032,0000032,000,10012019,N,I,N,N,1F
579111981FN,005,5791,0,11,000000000,098,0000032,0000032,000,10012019,N,I,N,N,1F
579111991FN,005,5791,0,11,000000000,099,0000032,0000032,000,10012019,N,I,N,N,1F
579111182FN,005,5791,0,11,000000000,018,0000056,0000056,000,10012019,N,I,N,N,2F
579111192FN,005,5791,0,11,000000000,019,0000056,0000056,000,10012019,N,I,N,N,2F
579111202FN,005,5791,0,11,000000000,020,0000056,0000056,000,10012019,N,I,N,N,2F
579111212FN,005,5791,0,11,000000000,021,0000056,0000056,000,10012019,N,I,N,N,2F
579111222FN,005,5791,0,11,000000000,022,0000056,0000056,000,10012019,N,I,N,N,2F
579111232FN,005,5791,0,11,000000000,023,0000056,0000056,000,10012019,N,I,N,N,2F
579111242FN,005,5791,0,11,000000000,024,0000056,0000056,000,10012019,N,I,N,N,2F
579111252FN,005,5791,0,11,000000000,025,0000056,0000056,000,10012019,N,I,N,N,2F
579111262FN,005,5791,0,11,000000000,026,0000056,0000056,000,10012019,N,I,N,N,2F
579111272FN,005,5791,0,11,000000000,027,0000056,0000056,000,10012019,N,I,N,N,2F
579111282FN,005,5791,0,11,000000000,028,0000056,0000056,000,10012019,N,I,N,N,2F
579111292FN,005,5791,0,11,000000000,029,0000056,0000056,000,10012019,N,I,N,N,2F
579111302FN,005,5791,0,11,000000000,030,0000106,0000106,000,10012019,N,I,N,N,2F
579111312FN,005,5791,0,11,000000000,031,0000106,0000106,000,10012019,N,I,N,N,2F
579111322FN,005,5791,0,11,000000000,032,0000106,0000106,000,10012019,N,I,N,N,2F
579111332FN,005,5791,0,11,000000000,033,0000106,0000106,000,10012019,N,I,N,N,2F
579111342FN,005,5791,0,11,000000000,034,0000106,0000106,000,10012019,N,I,N,N,2F
579111352FN,005,5791,0,11,000000000,035,0000154,0000154,000,10012019,N,I,N,N,2F
579111362FN,005,5791,0,11,000000000,036,0000154,0000154,000,10012019,N,I,N,N,2F
579111372FN,005,5791,0,11,000000000,037,0000154,0000154,000,10012019,N,I,N,N,2F
579111382FN,005,5791,0,11,000000000,038,0000154,0000154,000,10012019,N,I,N,N,2F
579111392FN,005,5791,0,11,000000000,039,0000154,0000154,000,10012019,N,I,N,N,2F
579111402FN,005,5791,0,11,000000000,040,0000210,0000210,000,10012019,N,I,N,N,2F
579111412FN,005,5791,0,11,000000000,041,0000210,0000210,000,10012019,N,I,N,N,2F
579111422FN,005,5791,0,11,000000000,042,0000210,0000210,000,10012019,N,I,N,N,2F
579111432FN,005,5791,0,11,000000000,043,0000210,0000210,000,10012019,N,I,N,N,2F
579111442FN,005,5791,0,11,000000000,044,0000210,0000210,000,10012019,N,I,N,N,2F
579111452FN,005,5791,0,11,000000000,045,0000282,0000282,000,10012019,N,I,N,N,2F
579111462FN,005,5791,0,11,000000000,046,0000282,0000282,000,10012019,N,I,N,N,2F
579111472FN,005,5791,0,11,000000000,047,0000282,0000282,000,10012019,N,I,N,N,2F
579111482FN,005,5791,0,11,000000000,048,0000282,0000282,000,10012019,N,I,N,N,2F
579111492FN,005,5791,0,11,000000000,049,0000282,0000282,000,10012019,N,I,N,N,2F
579111502FN,005,5791,0,11,000000000,050,0000369,0000369,000,10012019,N,I,N,N,2F
579111512FN,005,5791,0,11,000000000,051,0000369,0000369,000,10012019,N,I,N,N,2F
579111522FN,005,5791,0,11,000000000,052,0000369,0000369,000,10012019,N,I,N,N,2F
579111532FN,005,5791,0,11,000000000,053,0000369,0000369,000,10012019,N,I,N,N,2F
579111542FN,005,5791,0,11,000000000,054,0000369,0000369,000,10012019,N,I,N,N,2F
579111552FN,005,5791,0,11,000000000,055,0000454,0000454,000,10012019,N,I,N,N,2F
579111562FN,005,5791,0,11,000000000,056,0000454,0000454,000,10012019,N,I,N,N,2F
579111572FN,005,5791,0,11,000000000,057,0000454,0000454,000,10012019,N,I,N,N,2F
579111582FN,005,5791,0,11,000000000,058,0000454,0000454,000,10012019,N,I,N,N,2F
579111592FN,005,5791,0,11,000000000,059,0000454,0000454,000,10012019,N,I,N,N,2F
579111602FN,005,5791,0,11,000000000,060,0000551,0000551,000,10012019,N,I,N,N,2F
579111612FN,005,5791,0,11,000000000,061,0000551,0000551,000,10012019,N,I,N,N,2F
579111622FN,005,5791,0,11,000000000,062,0000551,0000551,000,10012019,N,I,N,N,2F
579111632FN,005,5791,0,11,000000000,063,0000551,0000551,000,10012019,N,I,N,N,2F
579111642FN,005,5791,0,11,000000000,064,0000551,0000551,000,10012019,N,I,N,N,2F
579111652FN,005,5791,0,11,000000000,065,0000670,0000670,000,10012019,N,I,N,N,2F
579111662FN,005,5791,0,11,000000000,066,0000670,0000670,000,10012019,N,I,N,N,2F
579111672FN,005,5791,0,11,000000000,067,0000670,0000670,000,10012019,N,I,N,N,2F
579111682FN,005,5791,0,11,000000000,068,0000670,0000670,000,10012019,N,I,N,N,2F
579111692FN,005,5791,0,11,000000000,069,0000670,0000670,000,10012019,N,I,N,N,2F
579111702FN,005,5791,0,11,000000000,070,0000753,0000753,000,10012019,N,I,N,N,2F
579111712FN,005,5791,0,11,000000000,071,0000753,0000753,000,10012019,N,I,N,N,2F
579111722FN,005,5791,0,11,000000000,072,0000753,0000753,000,10012019,N,I,N,N,2F
579111732FN,005,5791,0,11,000000000,073,0000753,0000753,000,10012019,N,I,N,N,2F
579111742FN,005,5791,0,11,000000000,074,0000753,0000753,000,10012019,N,I,N,N,2F
579111752FN,005,5791,0,11,000000000,075,0000758,0000758,000,10012019,N,I,N,N,2F
579111762FN,005,5791,0,11,000000000,076,0000758,0000758,000,10012019,N,I,N,N,2F
579111772FN,005,5791,0,11,000000000,077,0000758,0000758,000,10012019,N,I,N,N,2F
579111782FN,005,5791,0,11,000000000,078,0000758,0000758,000,10012019,N,I,N,N,2F
579111792FN,005,5791,0,11,000000000,079,0000758,0000758,000,10012019,N,I,N,N,2F
579111802FN,005,5791,0,11,000000000,080,0000710,0000710,000,10012019,N,I,N,N,2F
579111812FN,005,5791,0,11,000000000,081,0000710,0000710,000,10012019,N,I,N,N,2F
579111822FN,005,5791,0,11,000000000,082,0000710,0000710,000,10012019,N,I,N,N,2F
579111832FN,005,5791,0,11,000000000,083,0000710,0000710,000,10012019,N,I,N,N,2F
579111842FN,005,5791,0,11,000000000,084,0000710,0000710,000,10012019,N,I,N,N,2F
579111852FN,005,5791,0,11,000000000,085,0000539,0000539,000,10012019,N,I,N,N,2F
579111862FN,005,5791,0,11,000000000,086,0000539,0000539,000,10012019,N,I,N,N,2F
579111872FN,005,5791,0,11,000000000,087,0000539,0000539,000,10012019,N,I,N,N,2F
579111882FN,005,5791,0,11,000000000,088,0000539,0000539,000,10012019,N,I,N,N,2F
579111892FN,005,5791,0,11,000000000,089,0000539,0000539,000,10012019,N,I,N,N,2F
579111902FN,005,5791,0,11,000000000,090,0000385,0000385,000,10012019,N,I,N,N,2F
579111912FN,005,5791,0,11,000000000,091,0000385,0000385,000,10012019,N,I,N,N,2F
579111922FN,005,5791,0,11,000000000,092,0000385,0000385,000,10012019,N,I,N,N,2F
579111932FN,005,5791,0,11,000000000,093,0000385,0000385,000,10012019,N,I,N,N,2F
579111942FN,005,5791,0,11,000000000,094,0000385,0000385,000,10012019,N,I,N,N,2F
579111952FN,005,5791,0,11,000000000,095,0000145,0000145,000,10012019,N,I,N,N,2F
579111962FN,005,5791,0,11,000000000,096,0000145,0000145,000,10012019,N,I,N,N,2F
579111972FN,005,5791,0,11,000000000,097,0000145,0000145,000,10012019,N,I,N,N,2F
579111982FN,005,5791,0,11,000000000,098,0000145,0000145,000,10012019,N,I,N,N,2F
579111992FN,005,5791,0,11,000000000,099,0000145,0000145,000,10012019,N,I,N,N,2F
57911118EES,005,5791,0,11,000000000,018,0000051,0000051,000,10012019,N,I,N,S,EE
57911119EES,005,5791,0,11,000000000,019,0000051,0000051,000,10012019,N,I,N,S,EE
57911120EES,005,5791,0,11,000000000,020,0000051,0000051,000,10012019,N,I,N,S,EE
57911121EES,005,5791,0,11,000000000,021,0000051,0000051,000,10012019,N,I,N,S,EE
57911122EES,005,5791,0,11,000000000,022,0000051,0000051,000,10012019,N,I,N,S,EE
57911123EES,005,5791,0,11,000000000,023,0000051,0000051,000,10012019,N,I,N,S,EE
57911124EES,005,5791,0,11,000000000,024,0000051,0000051,000,10012019,N,I,N,S,EE
57911125EES,005,5791,0,11,000000000,025,0000051,0000051,000,10012019,N,I,N,S,EE
57911126EES,005,5791,0,11,000000000,026,0000051,0000051,000,10012019,N,I,N,S,EE
57911127EES,005,5791,0,11,000000000,027,0000051,0000051,000,10012019,N,I,N,S,EE
57911128EES,005,5791,0,11,000000000,028,0000051,0000051,000,10012019,N,I,N,S,EE
57911129EES,005,5791,0,11,000000000,029,0000051,0000051,000,10012019,N,I,N,S,EE
57911130EES,005,5791,0,11,000000000,030,0000104,0000104,000,10012019,N,I,N,S,EE
57911131EES,005,5791,0,11,000000000,031,0000104,0000104,000,10012019,N,I,N,S,EE
57911132EES,005,5791,0,11,000000000,032,0000104,0000104,000,10012019,N,I,N,S,EE
57911133EES,005,5791,0,11,000000000,033,0000104,0000104,000,10012019,N,I,N,S,EE
57911134EES,005,5791,0,11,000000000,034,0000104,0000104,000,10012019,N,I,N,S,EE
57911135EES,005,5791,0,11,000000000,035,0000156,0000156,000,10012019,N,I,N,S,EE
57911136EES,005,5791,0,11,000000000,036,0000156,0000156,000,10012019,N,I,N,S,EE
57911137EES,005,5791,0,11,000000000,037,0000156,0000156,000,10012019,N,I,N,S,EE
57911138EES,005,5791,0,11,000000000,038,0000156,0000156,000,10012019,N,I,N,S,EE
57911139EES,005,5791,0,11,000000000,039,0000156,0000156,000,10012019,N,I,N,S,EE
57911140EES,005,5791,0,11,000000000,040,0000223,0000223,000,10012019,N,I,N,S,EE
57911141EES,005,5791,0,11,000000000,041,0000223,0000223,000,10012019,N,I,N,S,EE
57911142EES,005,5791,0,11,000000000,042,0000223,0000223,000,10012019,N,I,N,S,EE
57911143EES,005,5791,0,11,000000000,043,0000223,0000223,000,10012019,N,I,N,S,EE
57911144EES,005,5791,0,11,000000000,044,0000223,0000223,000,10012019,N,I,N,S,EE
57911145EES,005,5791,0,11,000000000,045,0000322,0000322,000,10012019,N,I,N,S,EE
57911146EES,005,5791,0,11,000000000,046,0000322,0000322,000,10012019,N,I,N,S,EE
57911147EES,005,5791,0,11,000000000,047,0000322,0000322,000,10012019,N,I,N,S,EE
57911148EES,005,5791,0,11,000000000,048,0000322,0000322,000,10012019,N,I,N,S,EE
57911149EES,005,5791,0,11,000000000,049,0000322,0000322,000,10012019,N,I,N,S,EE
57911150EES,005,5791,0,11,000000000,050,0000437,0000437,000,10012019,N,I,N,S,EE
57911151EES,005,5791,0,11,000000000,051,0000437,0000437,000,10012019,N,I,N,S,EE
57911152EES,005,5791,0,11,000000000,052,0000437,0000437,000,10012019,N,I,N,S,EE
57911153EES,005,5791,0,11,000000000,053,0000437,0000437,000,10012019,N,I,N,S,EE
57911154EES,005,5791,0,11,000000000,054,0000437,0000437,000,10012019,N,I,N,S,EE
57911155EES,005,5791,0,11,000000000,055,0000560,0000560,000,10012019,N,I,N,S,EE
57911156EES,005,5791,0,11,000000000,056,0000560,0000560,000,10012019,N,I,N,S,EE
57911157EES,005,5791,0,11,000000000,057,0000560,0000560,000,10012019,N,I,N,S,EE
57911158EES,005,5791,0,11,000000000,058,0000560,0000560,000,10012019,N,I,N,S,EE
57911159EES,005,5791,0,11,000000000,059,0000560,0000560,000,10012019,N,I,N,S,EE
57911160EES,005,5791,0,11,000000000,060,0000713,0000713,000,10012019,N,I,N,S,EE
57911161EES,005,5791,0,11,000000000,061,0000713,0000713,000,10012019,N,I,N,S,EE
57911162EES,005,5791,0,11,000000000,062,0000713,0000713,000,10012019,N,I,N,S,EE
57911163EES,005,5791,0,11,000000000,063,0000713,0000713,000,10012019,N,I,N,S,EE
57911164EES,005,5791,0,11,000000000,064,0000713,0000713,000,10012019,N,I,N,S,EE
57911165EES,005,5791,0,11,000000000,065,0000905,0000905,000,10012019,N,I,N,S,EE
57911166EES,005,5791,0,11,000000000,066,0000905,0000905,000,10012019,N,I,N,S,EE
57911167EES,005,5791,0,11,000000000,067,0000905,0000905,000,10012019,N,I,N,S,EE
57911168EES,005,5791,0,11,000000000,068,0000905,0000905,000,10012019,N,I,N,S,EE
57911169EES,005,5791,0,11,000000000,069,0000905,0000905,000,10012019,N,I,N,S,EE
57911170EES,005,5791,0,11,000000000,070,0001059,0001059,000,10012019,N,I,N,S,EE
57911171EES,005,5791,0,11,000000000,071,0001059,0001059,000,10012019,N,I,N,S,EE
57911172EES,005,5791,0,11,000000000,072,0001059,0001059,000,10012019,N,I,N,S,EE
57911173EES,005,5791,0,11,000000000,073,0001059,0001059,000,10012019,N,I,N,S,EE
57911174EES,005,5791,0,11,000000000,074,0001059,0001059,000,10012019,N,I,N,S,EE
57911175EES,005,5791,0,11,000000000,075,0001122,0001122,000,10012019,N,I,N,S,EE
57911176EES,005,5791,0,11,000000000,076,0001122,0001122,000,10012019,N,I,N,S,EE
57911177EES,005,5791,0,11,000000000,077,0001122,0001122,000,10012019,N,I,N,S,EE
57911178EES,005,5791,0,11,000000000,078,0001122,0001122,000,10012019,N,I,N,S,EE
57911179EES,005,5791,0,11,000000000,079,0001122,0001122,000,10012019,N,I,N,S,EE
57911180EES,005,5791,0,11,000000000,080,0001034,0001034,000,10012019,N,I,N,S,EE
57911181EES,005,5791,0,11,000000000,081,0001034,0001034,000,10012019,N,I,N,S,EE
57911182EES,005,5791,0,11,000000000,082,0001034,0001034,000,10012019,N,I,N,S,EE
57911183EES,005,5791,0,11,000000000,083,0001034,0001034,000,10012019,N,I,N,S,EE
57911184EES,005,5791,0,11,000000000,084,0001034,0001034,000,10012019,N,I,N,S,EE
57911185EES,005,5791,0,11,000000000,085,0000715,0000715,000,10012019,N,I,N,S,EE
57911186EES,005,5791,0,11,000000000,086,0000715,0000715,000,10012019,N,I,N,S,EE
57911187EES,005,5791,0,11,000000000,087,0000715,0000715,000,10012019,N,I,N,S,EE
57911188EES,005,5791,0,11,000000000,088,0000715,0000715,000,10012019,N,I,N,S,EE
57911189EES,005,5791,0,11,000000000,089,0000715,0000715,000,10012019,N,I,N,S,EE
57911190EES,005,5791,0,11,000000000,090,0000473,0000473,000,10012019,N,I,N,S,EE
57911191EES,005,5791,0,11,000000000,091,0000473,0000473,000,10012019,N,I,N,S,EE
57911192EES,005,5791,0,11,000000000,092,0000473,0000473,000,10012019,N,I,N,S,EE
57911193EES,005,5791,0,11,000000000,093,0000473,0000473,000,10012019,N,I,N,S,EE
57911194EES,005,5791,0,11,000000000,094,0000473,0000473,000,10012019,N,I,N,S,EE
57911195EES,005,5791,0,11,000000000,095,0000069,0000069,000,10012019,N,I,N,S,EE
57911196EES,005,5791,0,11,000000000,096,0000069,0000069,000,10012019,N,I,N,S,EE
57911197EES,005,5791,0,11,000000000,097,0000069,0000069,000,10012019,N,I,N,S,EE
57911198EES,005,5791,0,11,000000000,098,0000069,0000069,000,10012019,N,I,N,S,EE
57911199EES,005,5791,0,11,000000000,099,0000069,0000069,000,10012019,N,I,N,S,EE
57911118ESS,005,5791,0,11,000000000,018,0000087,0000087,000,10012019,N,I,N,S,ES
57911119ESS,005,5791,0,11,000000000,019,0000087,0000087,000,10012019,N,I,N,S,ES
57911120ESS,005,5791,0,11,000000000,020,0000087,0000087,000,10012019,N,I,N,S,ES
57911121ESS,005,5791,0,11,000000000,021,0000087,0000087,000,10012019,N,I,N,S,ES
57911122ESS,005,5791,0,11,000000000,022,0000087,0000087,000,10012019,N,I,N,S,ES
57911123ESS,005,5791,0,11,000000000,023,0000087,0000087,000,10012019,N,I,N,S,ES
57911124ESS,005,5791,0,11,000000000,024,0000087,0000087,000,10012019,N,I,N,S,ES
57911125ESS,005,5791,0,11,000000000,025,0000087,0000087,000,10012019,N,I,N,S,ES
57911126ESS,005,5791,0,11,000000000,026,0000087,0000087,000,10012019,N,I,N,S,ES
57911127ESS,005,5791,0,11,000000000,027,0000087,0000087,000,10012019,N,I,N,S,ES
57911128ESS,005,5791,0,11,000000000,028,0000087,0000087,000,10012019,N,I,N,S,ES
57911129ESS,005,5791,0,11,000000000,029,0000087,0000087,000,10012019,N,I,N,S,ES
57911130ESS,005,5791,0,11,000000000,030,0000182,0000182,000,10012019,N,I,N,S,ES
57911131ESS,005,5791,0,11,000000000,031,0000182,0000182,000,10012019,N,I,N,S,ES
57911132ESS,005,5791,0,11,000000000,032,0000182,0000182,000,10012019,N,I,N,S,ES
57911133ESS,005,5791,0,11,000000000,033,0000182,0000182,000,10012019,N,I,N,S,ES
57911134ESS,005,5791,0,11,000000000,034,0000182,0000182,000,10012019,N,I,N,S,ES
57911135ESS,005,5791,0,11,000000000,035,0000278,0000278,000,10012019,N,I,N,S,ES
57911136ESS,005,5791,0,11,000000000,036,0000278,0000278,000,10012019,N,I,N,S,ES
57911137ESS,005,5791,0,11,000000000,037,0000278,0000278,000,10012019,N,I,N,S,ES
57911138ESS,005,5791,0,11,000000000,038,0000278,0000278,000,10012019,N,I,N,S,ES
57911139ESS,005,5791,0,11,000000000,039,0000278,0000278,000,10012019,N,I,N,S,ES
57911140ESS,005,5791,0,11,000000000,040,0000405,0000405,000,10012019,N,I,N,S,ES
57911141ESS,005,5791,0,11,000000000,041,0000405,0000405,000,10012019,N,I,N,S,ES
57911142ESS,005,5791,0,11,000000000,042,0000405,0000405,000,10012019,N,I,N,S,ES
57911143ESS,005,5791,0,11,000000000,043,0000405,0000405,000,10012019,N,I,N,S,ES
57911144ESS,005,5791,0,11,000000000,044,0000405,0000405,000,10012019,N,I,N,S,ES
57911145ESS,005,5791,0,11,000000000,045,0000579,0000579,000,10012019,N,I,N,S,ES
57911146ESS,005,5791,0,11,000000000,046,0000579,0000579,000,10012019,N,I,N,S,ES
57911147ESS,005,5791,0,11,000000000,047,0000579,0000579,000,10012019,N,I,N,S,ES
57911148ESS,005,5791,0,11,000000000,048,0000579,0000579,000,10012019,N,I,N,S,ES
57911149ESS,005,5791,0,11,000000000,049,0000579,0000579,000,10012019,N,I,N,S,ES
57911150ESS,005,5791,0,11,000000000,050,0000815,0000815,000,10012019,N,I,N,S,ES
57911151ESS,005,5791,0,11,000000000,051,0000815,0000815,000,10012019,N,I,N,S,ES
57911152ESS,005,5791,0,11,000000000,052,0000815,0000815,000,10012019,N,I,N,S,ES
57911153ESS,005,5791,0,11,000000000,053,0000815,0000815,000,10012019,N,I,N,S,ES
57911154ESS,005,5791,0,11,000000000,054,0000815,0000815,000,10012019,N,I,N,S,ES
57911155ESS,005,5791,0,11,000000000,055,0001056,0001056,000,10012019,N,I,N,S,ES
57911156ESS,005,5791,0,11,000000000,056,0001056,0001056,000,10012019,N,I,N,S,ES
