lookup,comp,plan,sex,state,units,age,inprem,reprem,area,effdate,areach,agetype,comm,tobacco,class,ratetype,emptype
57754473EEN,005,5775,0,44,000000000,073,0003734,0003734,000,10142019,N,I,N,N,,,EE
57754474EEN,005,5775,0,44,000000000,074,0003734,0003734,000,10142019,N,I,N,N,,,EE
57754475EEN,005,5775,0,44,000000000,075,0004051,0004051,000,10142019,N,I,N,N,,,EE
57754476EEN,005,5775,0,44,000000000,076,0004051,0004051,000,10142019,N,I,N,N,,,EE
57754477EEN,005,5775,0,44,000000000,077,0004051,0004051,000,10142019,N,I,N,N,,,EE
57754478EEN,005,5775,0,44,000000000,078,0004051,0004051,000,10142019,N,I,N,N,,,EE
57754479EEN,005,5775,0,44,000000000,079,0004051,0004051,000,10142019,N,I,N,N,,,EE
57754480EEN,005,5775,0,44,000000000,080,0004236,0004236,000,10142019,N,I,N,N,,,EE
57754481EEN,005,5775,0,44,000000000,081,0004236,0004236,000,10142019,N,I,N,N,,,EE
57754482EEN,005,5775,0,44,000000000,082,0004236,0004236,000,10142019,N,I,N,N,,,EE
57754483EEN,005,5775,0,44,000000000,083,0004236,0004236,000,10142019,N,I,N,N,,,EE
57754484EEN,005,5775,0,44,000000000,084,0004236,0004236,000,10142019,N,I,N,N,,,EE
57754485EEN,005,5775,0,44,000000000,085,0004375,0004375,000,10142019,N,I,N,N,,,EE
57754486EEN,005,5775,0,44,000000000,086,0004375,0004375,000,10142019,N,I,N,N,,,EE
57754487EEN,005,5775,0,44,000000000,087,0004375,0004375,000,10142019,N,I,N,N,,,EE
57754488EEN,005,5775,0,44,000000000,088,0004375,0004375,000,10142019,N,I,N,N,,,EE
57754489EEN,005,5775,0,44,000000000,089,0004375,0004375,000,10142019,N,I,N,N,,,EE
57754490EEN,005,5775,0,44,000000000,090,0004572,0004572,000,10142019,N,I,N,N,,,EE
57754491EEN,005,5775,0,44,000000000,091,0004572,0004572,000,10142019,N,I,N,N,,,EE
57754492EEN,005,5775,0,44,000000000,092,0004572,0004572,000,10142019,N,I,N,N,,,EE
57754493EEN,005,5775,0,44,000000000,093,0004572,0004572,000,10142019,N,I,N,N,,,EE
57754494EEN,005,5775,0,44,000000000,094,0004572,0004572,000,10142019,N,I,N,N,,,EE
